"prioridad","score","empresa","segmento","subtipo_rubro","localidad","direccion_detectada","provincia","amba_confirmado","tamano_validado","contactos_en_base","con_email","con_telefono","tiene_decisor","cargos_conocidos","fuente_principal","estado_enriquecimiento","apollo_org_id","dominio","empleados","decisor_nombre","decisor_cargo","decisor_email","en_secuencia","notas"
"A1","7","SANITARIOS FALZONE SA","Industrial_Otros","SANITARIOS","","AV FRANCISCO BEIRO 4680 PB","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","7","SANITARIOS FERNANDEZ Y CIA SRL","Industrial_Otros","PART/COM","","JAIME MONROE 1528","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","7","SANITARIOS FLORESTA SRL","Industrial_Otros","SANITARIOS","","PROVINCIA DE SAN LUIS 2935 PB LCL","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","7","SANITARIOS MARNE SRL","Industrial_Otros","SANITARIOS","","AV SAN MARTIN 2333","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A1","7","Santilli Sociedad Anonima","Industrial_Otros","CALEFACCION, RADIADORES","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","Sistemas Temporarios","Industrial_Otros","Industria_Metal","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","1","1","SI","Secretaria","ACERBRAG_PROVEEDORES","PENDIENTE","","","","","","","NO",""
"A1","7","Tecnifos","Industrial_Otros","INDUSTRIAL","","","Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","SI","Gerente Comercial","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A1","7","Trivial Tech sa","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Jefe de Planta","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A1","7","Tucci Antonio Isse Omar y Mario Morini Sh","Industrial_Otros","GUANTES DE CUERO","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","0","2","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A1","7","TyM INGENIERIA SRL","Construccion_Ingenieria","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Supervisor de Obras","Participantes y Encuesta WEBINARs v1.xlsx - PARTICIPANTES","PENDIENTE","","","","","","","NO",""
"A2","6","""gonzalez","Industrial_Otros","GALVANOPLASTIA, ZINCADO","","","Buenos Aires","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","2","1","SI","Presupuestista","BD_EK_DEPURAR_VARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","12 de Octubre","Industrial_Otros","CONFECCIONES, GUARDAPOLVOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","3","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A2","6","ABELSON SA","Industrial_Otros","SANITARIOS","","AV EDUARDO GAONA 3320","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Aceroplat","Industrial_Otros","ACEROS AL CARBONO","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","SI","Socio Gerente","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A2","6","ACESUR SA","Industrial_Otros","SANITARIOS","","GRAL SIMON BOLIVAR 469","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Adecoagro","Construccion_Ingenieria","","","","Buenos Aires","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","4","0","SI","Jefe de Mantenimiento | Gerente de Planta","HubSpot_EK","PENDIENTE","","","","","","","NO",""
"A2","6","ADRIMAR SRL","Industrial_Otros","SANITARIOS","","AV ALBERDI 3808","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","AENIMADISEÃ‘O SRL","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","Afg Cosntrucciones Sa/ Obra:yacanto","Industrial_Otros","","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","SI","Arquitecto","CONTACTO COMERCIAL.xlsx (2008)","PENDIENTE","","","","","","","NO",""
"A2","6","Agrocom","Industrial_Otros","DISTRIBUIDOR MINORISTA","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","2","1","SI","Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","ALFAMAQ VENTURI SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","ALTO PALERMO SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","Amerian","Construccion_Ingenieria","Hoteleria","","Av. Rivadavia 2355, C1034ACC","Buenos Aires","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","5","5","3","SI","Coordinadora del Edificio | Mantenimiento | Arquitecto","HubSpot_EK","PENDIENTE","","","","","","","NO",""
"A2","6","Ammache Textil","Industrial_Otros","","CABA","","Ciudad Autónoma de Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","SI","DueÃ±o","CONTACTO COMERCIAL.xlsx (2010)","PENDIENTE","","","","","","","NO",""
"A2","6","ANILINAS RIEGER","Industrial_Otros","Químicos y petroquímicos","CAPITAL FEDERAL","","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","SI","Gerente","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","ANTONIO SARABIA SA","Industrial_Otros","SANITARIOS","","REP DE VENEZUELA 714","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Application Software","Industrial_Otros","EMPRESARIOS Y EJECUTIVOS","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","2","1","SI","Consultor | Gerente de Sistemas","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","Ardas Srl/ Obra Hotel Dazzler","Industrial_Otros","","CABA","","Ciudad Autónoma de Buenos Aires, Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","1","SI","Arquitecto","CONTACTO COMERCIAL.xlsx (2006)","PENDIENTE","","","","","","","NO",""
"A2","6","Ardison & Asociados","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","3","0","SI","Doctor","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","Argencard","Industrial_Otros","ESTUDIANTE","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","5","4","1","SI","Gerente Productos | Subgerente | Gerente de Desarrollo de Sistemas","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","ARGENCONS SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","1","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","ARGENMAT SA","Industrial_Otros","SANITARIOS","","AV BERNARDINO RIVADAVIA 9161","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Argentina","Industrial_Otros","","","","Argentina","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","28","28","0","SI","Arquitecto | Ingeniero","ESIMET_GDB","PENDIENTE","","","","","","","NO",""
"A2","6","ARIEL DEL PLATA SA","Industrial_Otros","SANITARIOS","","USPALLATA 2913","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Arq Marina Roselleo","Industrial_Otros","","CABA","","Ciudad Autónoma de Buenos Aires, Argentina","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","1","0","SI","Arq Marina Roselleo","CONTACTO COMERCIAL.xlsx (2008)","PENDIENTE","","","","","","","NO",""
"A2","6","Arquigrafi-k","Industrial_Otros","EST. INGENIERIA / ARQ.","CAPITAL","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","3","0","SI","Socio Gerente","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","ARQUITECTURA SA","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","2","2","0","NO","","EL_ORIGINAL","PENDIENTE","","","","","","","NO",""
"A2","6","ARQUITORES SA","Industrial_Otros","SANITARIOS","","MIGUEL ANGEL 1858","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Asytec Sistemas","Industrial_Otros","","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","9","9","0","SI","Lider de Proyecto | Licenciado","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","Autoelevadores Yale","Industrial_Otros","Industria_Metal","Munro","","Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","1","3","NO","","ACERBRAG_PROVEEDORES","PENDIENTE","","","","","","","NO",""
"A2","6","Automacion Aplicada","Industrial_Otros","AUTOMACION","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","2","4","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A2","6","Automoviles Exclusivos","Industrial_Otros","AUTOMOTORES, ACCESORIOS Y REPUESTOS","","","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","3","NO","","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A2","6","Balbico S.a.c.i.f.i","Industrial_Otros","HERRAMIENTAS DIAMANTADAS","","","","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","2","1","SI","Gerente de Ventas","GENUINO_33K","PENDIENTE","","","","","","","NO",""
"A2","6","Bapropertymanagers","Construccion_Ingenieria","","","","Buenos Aires","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","4","2","SI","Contador | Intendente -administracion | Administracion (pagos)","HubSpot_EK","PENDIENTE","","","","","","","NO",""
"A2","6","BEHRMANN SRL","Industrial_Otros","SANITARIOS","","AV CABILDO 3349 PB LCL","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","BIANCHI HERMANOS SA","Industrial_Otros","SANITARIOS","","PAUNERO 2750","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Biogenesisbago","Construccion_Ingenieria","","","","Buenos Aires","A VALIDAR","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","3","0","SI","Gerente de Ingeniería y Mantenimiento | Jefe de Mantenimiento | Jefe de Ingenieria y Mantenimiento en Bioseguridad","HubSpot_EK","PENDIENTE","","","","","","","NO",""
"A2","6","BLAINSTEIN SA","Industrial_Otros","SANITARIOS","","AV DR JUAN BAUTISTA JUSTO 1468","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
"A2","6","Blaisten","Industrial_Otros","SANITARIOS","","AV DR JUAN BAUTISTA JUSTO 1380","","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","4","2","2","NO","","GENUINO_24K","PENDIENTE","","","","","","","NO",""
"A2","6","Bolsafilm","Industrial_Otros","BOLSAS DE POLIPROPILENO","Pilar Parque Industrial","","Buenos Aires","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","3","1","2","NO","","EK_DEPURAR","PENDIENTE","","","","","","","NO",""
"A2","6","BONGIOVANNI Y CIA SA","Industrial_Otros","SANITARIOS","","CNEL EDUARDO KAILLITZ HOLMBERG 1945 PB LOC","Capital Federal","SI","NO - la base EK no trae headcount, filtrar con Apollo (15-80)","1","0","1","NO","","GUIA DE LA CONSTRUCCION  sin mails.xls - SANITARIOS","PENDIENTE","","","","","","","NO",""
